Date,Area,Number of Ppl,Number of Kilos,Per person Kg,Cost,Cost per kg,Bag,Kg,,,
07-01-2025,HL,21,1190,56.67,7600,6.39,10,0,,,
08-01-2025,HL+DM+RM,17,1133,66.65,6800,6.00,9,35,,,
09-01-2025,DM+RM+JP,18,1116,62.00,7200,6.45,9,20,,,
10-01-2025,JP,13,488,37.54,5200,10.66,4,0,,,
12-01-2025,GP,13,1261,97.00,5850,4.64,10,36,,,
13-01-2025,GP,7,456,65.14,2800,6.14,7,45,,,
14-01-2025,JP,13,518,39.85,5200,10.04,0,0,,,
15-01-2025,BGKP,13,896,68.92,5200,5.80,7,7,,,
16-01-2025,BGKP,15,1222,81.47,6000,4.91,10,9,,,
17-01-2025,BGKP+SHL,15,1163,77.53,6000,5.16,10,1,,,
19-01-2025,Line Himbaga,15,1597,106.47,8783.5,5.5,14,2,,,
20-01-2025,Line Himbaga+PP,13,1298,86.53,7139,5.5,11,2,,,
21-01-2025,PP+KereK,12,1298,108.17,7139,5.5,11,15,,,
22-01-2025,PP+KereK+700GP,12,1026,85.50,5643,5.5,9,5,,,
23-01-2025,KekeK+700+200+KBP+KP,14,981,70.07,5395.5,5.5,8,45,,,
24-01-2025,Kallpatte,12,1013,84.42,5571.5,5.5,8,45,,,
26-01-2025,Kallpatte+KichalMP,10,785,78.50,4317.5,5.5,7,5,,,
27-01-2025,HMP,8.5,606,71.29,3333,5.5,5,30,,,
28-01-2025,HMP+NMP,11,865,78.64,4757.5,5.5,7,35,,,
29-01-2025,600 GP,7.5,554,73.87,3047,5.5,4,43,,,
30-01-2025,600 GP+NMP+KMP,8.5,661,77.76,3635.5,5.5,5,47,,,
31-01-2025,Kichal MP+1600D,14,1499,107.07,8244.5,5.5,13,30,,,
02-02-2025,KMP+1800+ManOpp,17,1151,67.71,7225,6.28,11,8,,,
03-02-2025,KMP+1800,18,928,51.56,7650,8.24,8,21,,,
04-02-2025,DPP+DP+VJ,15,716,47.73,6300,8.80,6,15,,,
05-02-2025,VJ,15.00,649,43.27,6375,9.82,5,35,,,
06-02-2025,1600UP+down+GPT,18,1360,75.56,7650,5.63,12,21,,,
07-02-2025,BG1+BG2,17,1375,80.88,7225,5.25,12,43,,,
09-02-2025,Hangaravalli Dodda Patte,15,1508,100.53,6375,4.23,14,14,,,
10-02-2025,Hangaravalli Dodda Patte + DP,15,1132,75.47,6375,5.63,10,6,,,
11-02-2025,Hangaravalli DP +MH1,15,1011,67.40,6375,6.31,9,9,,,
12-02-2025,MH1 + 2+3,18,1628,90.44,7650,4.70,15,0,,,
13-02-2025,addike honda,16,800,50.00,6800,8.50,7,27,,,
14-02-2025,addike honda+BG2+600GP,18,1377,76.50,7650,5.56,12,44,,,
16-02-2025,600GP+KKP,12,1184,98.67,5100,4.31,11,0,,,
17-02-2025,KKP+UDH,11,1172,106.55,4675,3.99,10,35,,,
18-02-2025,UDH+MH+Mopp,13,1119,86.08,5525,4.94,11,0,,,
19-02-2025,GTP+KP,13,1529,117.62,5525,3.61,14,26,,,
20-02-2025,KP+GGP,12,813,67.75,5100,6.27,7,24,,,
21-02-2025,KP+GGP+Piece+Mopp,13,688,52.92,5525,8.03,6,18,,,
23-02-2025,BBP+BHP+300GP,20,827,41.35,8500,10.28,7,38,,,
24-02-2025,Kottevare + Mopp,23,701,30.48,9775,13.94,6,42,,,
25-02-2025,Sanngagidda,9,296,32.89,3825,13,2,46,,,
26-02-2025,Mopp,11,292,26.55,4675,16,2,43,,,
